nom de l'image 	date 	jaune 	rouge 	bleu 	vert 	marron 	orange 	total lignes :
1342	7/10/21	3	5	4	1	3	3	19
1344	8/10/21	6	2	3	2	1	6	20
1345	9/10/21	5	1	4	2	3	5	20
1350	10/10/21	7	1	1	2	3	7	21
1351	11/10/21	6	2	4	1	1	5	19
1355	12/10/21	1	5	5	2	3	3	19
1356	13/10/21	3	2	2	5	2	6	20
1361	14/10/21	2	4	1	7	2	3	19
1362	15/10/21	4	2	5	3	3	3	20
1364	16/10/21	4	5	4	3	1	4	21
1365	17/10/21	4	3	5	4	2	2	20
1374	18/10/21	0	3	4	4	4	2	17
1375	19/10/21	0	3	3	7	3	3	19
1376	20/10/21	7	2	3	1	3	3	19
1379	21/10/21	4	3	4	2	1	4	18
1381	22/10/21	3	1	5	3	4	4	20
1382	23/10/21	2	1	1	6	3	5	18
1385	24/10/21	1	2	4	4	3	5	19
1386	25/10/21	3	3	3	5	3	1	18
1387	26/10/21	2	5	1	6	4	3	21
1391	27/10/21	8	4	2	2	2	1	19
1392	28/10/21	3	2	4	5	6	2	22
1394	29/10/21	2	1	1	4	6	4	18
1395	30/10/21	1	2	6	1	2	6	18
1397	31/10/21	2	4	2	4	2	6	20
1411	1/11/21	8	0	4	1	2	3	18
1412	2/11/21	4	2	6	1	2	4	19
1413	3/11/21	0	1	8	0	1	8	18
1414	4/11/21	4	1	5	0	3	5	18
1416	5/11/21	1	5	4	2	3	6	21
1417	6/11/21	3	1	4	4	3	5	20
1474	7/11/21	5	2	3	0	5	2	17
1476	8/11/21	7	1	3	2	1	5	19
1484	9/11/21	6	4	2	4	3	1	20
1492	10/11/21	3	6	2	4	4	2	21
1493	11/11/21	3	4	4	4	5	2	22
1495	12/11/21	4	5	2	3	5	2	21
1507	13/11/21	7	4	2	4	4	1	22
1508	14/11/21	3	2	4	5	3	3	20
1509	15/11/21	4	2	5	1	0	8	20
1510	16/11/21	5	3	6	1	4	3	22
1511	17/11/21	3	2	6	1	3	6	21
1515	18/11/21	1	5	3	3	1	8	21
1516	19/11/21	4	5	2	1	5	3	20
1518	20/11/21	2	4	4	1	5	4	20
1519	21/11/21	3	8	5	2	0	3	21
1521	22/11/21	2	4	3	5	2	5	21
1522	23/11/21	4	3	4	5	3	1	20
1524	24/11/21	2	4	7	5	1	2	21
1525	25/11/21	6	4	2	3	4	3	22
1526	26/11/21	5	0	6	1	0	7	19
1527	27/11/21	5	5	4	4	3	1	22
1530	28/11/21	2	3	5	5	4	3	22
1531	29/11/21	5	2	7	3	1	4	22
1533	30/11/21	8	2	6	2	0	3	21
1534	1/12/21	3	4	5	4	0	5	21
2186	2/12/21	1	2	5	4	1	7	20
3593	3/12/21	3	1	4	4	4	4	20
11	4/12/21	3	4	3	2	2	7	21
12	5/12/21	9	1	5	2	1	5	23
13	6/12/21	5	2	6	2	1	5	21
14	7/12/21	6	1	5	2	1	5	20
15	8/12/21	3	2	3	5	1	6	20
18	9/12/21	4	1	6	2	2	6	21
30	10/12/21	4	2	4	2	1	7	20
32	11/12/21	5	0	6	1	1	5	18
34	12/12/21	5	2	5	2	3	3	20
35	13/12/21	2	3	4	5	2	5	21
40	14/12/21	5	0	6	2	3	4	20
42	15/12/21	5	1	5	2	2	6	21
45	16/12/21	3	3	7	2	3	5	23
53	17/12/21	3	2	9	1	3	2	20
54	18/12/21	8	3	3	2	2	2	20
58	19/12/21	0	6	3	7	2	4	22
59	20/12/21	3	1	2	3	4	7	20
67	21/12/21	7	6	1	3	2	4	23
73	22/12/21	5	7	3	3	2	1	21
80	23/12/21	0	2	2	3	7	5	19
85	24/12/21	3	4	4	1	4	3	19
94	25/12/21	3	2	8	1	3	1	18
95	26/12/21	3	4	7	1	4	2	21
99	27/12/21	3	2	3	2	2	6	18
101	28/12/21	5	5	1	1	4	3	19
102	29/12/21	4	1	5	1	2	6	19
103	30/12/21	4	2	2	1	5	5	19
105	31/12/21	8	0	5	2	1	2	18
107	1/1/22	5	3	3	2	2	4	19
115	2/1/22	1	2	4	2	6	5	20
116	3/1/22	4	1	4	0	4	5	18
117	4/1/22	3	5	2	1	6	4	21
118	5/1/22	6	0	6	5	2	2	21
119	6/1/22	6	0	5	1	4	2	18
120	7/1/22	10	1	3	1	1	4	20
121	8/1/22	5	4	4	3	1	3	20
122	9/1/22	2	7	4	1	3	4	21
123	10/1/22	6	0	3	2	1	7	19
125	11/1/22	3	2	5	0	2	6	18
126	12/1/22	2	5	3	3	2	3	18
127	13/1/22	4	2	5	1	3	2	17
128	14/1/22	4	1	3	2	3	5	18
129	15/1/22	4	3	2	1	2	7	19
131	16/1/22	5	3	2	1	4	4	19
132	17/1/22	2	1	10	4	2	1	20
134	18/1/22	6	3	1	3	3	1	17
136	19/1/22	1	2	3	3	2	7	18
137	20/1/22	2	1	4	4	7	1	19
139	21/1/22	0	3	6	5	3	2	19
142	22/1/22	3	3	3	3	5	3	20
143	23/1/22	5	1	4	4	3	3	20
144	24/1/22	3	4	4	4	3	3	21
146	25/1/22	5	1	4	5	2	2	19
153	26/1/22	2	2	3	0	6	4	17
160	27/1/22	3	2	3	6	2	4	20
171	28/1/22	5	1	4	2	2	5	19
172	29/1/22	5	1	5	4	2	2	19
175	30/1/22	3	1	8	1	2	2	17
176	31/1/22	3	1	7	0	1	7	19
177	1/2/22	3	3	2	5	3	4	20
179	2/2/22	6	1	4	3	2	4	20
182	3/2/22	4	1	1	6	6	3	21
183	4/2/22	6	1	1	4	6	2	20
184	5/2/22	4	1	4	7	3	2	21
190	6/2/22	2	5	4	3	4	3	21
836	7/2/22	6	2	9	2	1	2	22
837	8/2/22	1	2	3	3	2	5	16
840	9/2/22	4	3	0	4	4	5	20
852	10/2/22	4	2	6	2	3	2	19
853	11/2/22	3	0	6	0	6	3	18
854	12/2/22	5	2	4	4	2	1	18
862	13/2/22	3	1	0	5	2	5	16
864	14/2/22	3	0	4	6	3	3	19
866	15/2/22	5	2	2	2	4	5	20
868	16/2/22	3	1	8	0	2	5	19
869	17/2/22	6	3	2	3	3	3	20
870	18/2/22	2	2	3	6	2	5	20
880	19/2/22	5	1	4	3	4	1	18
881	20/2/22	1	2	8	1	3	3	18
882	21/2/22	1	6	2	4	4	1	18
886	22/2/22	2	3	3	4	3	3	18
891	23/2/22	2	5	6	2	1	3	19
892	24/2/22	5	4	4	0	4	2	19
893	25/2/22	1	2	5	4	1	6	19
898	26/2/22	4	2	2	3	1	5	17
959	27/2/22	2	5	4	1	4	2	18
981	28/2/22	2	4	1	5	4	5	21
993	1/3/22	1	4	5	1	4	6	21
996	2/3/22	7	3	3	4	2	2	21
997	3/3/22	7	3	3	4	2	2	21
1003	4/3/22	3	2	5	4	3	2	19
1004	5/3/22	12	1	2	2	1	3	21
1005	6/3/22	4	6	4	1	1	4	20
1006	7/3/22	6	0	9	1	2	3	21
1007	8/3/22	3	5	6	2	2	2	20
1008	9/3/22	6	3	2	3	2	4	20
1009	10/3/22	6	2	4	1	3	4	20
1011	11/3/22	2	4	2	5	4	3	20
1012	12/3/22	5	2	5	1	1	6	20
1013	13/3/22	2	3	5	4	2	2	18
1014	14/3/22	2	3	4	4	2	4	19
1015	15/3/22	5	4	3	0	1	5	18
1016	16/3/22	1	1	6	3	4	3	18
1017	17/3/22	3	1	4	2	3	5	18
1018	18/3/22	4	2	1	5	2	4	18
1019	19/3/22	3	6	2	3	1	3	18
1020	20/3/22	2	4	4	2	3	5	20
1021	21/3/22	3	1	2	5	0	7	18
1022	22/3/22	3	5	3	2	3	6	22
1025	23/3/22	1	3	3	5	2	6	20
1026	24/3/22	1	2	3	5	2	6	19
1027	25/3/22	1	4	1	4	7	2	19
1028	26/3/22	4	3	10	3	1	0	21
1030	27/3/22	2	2	3	1	3	8	19
1031	28/3/22	6	0	7	2	3	3	21
1032	29/3/22	5	3	1	2	1	8	20
1033	30/3/22	5	3	7	1	0	3	19
1161	31/3/22	8	1	4	1	1	4	19
1176	1/4/22	7	1	5	2	1	4	20
1178	2/4/22	7	1	1	1	2	5	17
1195	3/4/22	9	1	2	3	2	3	20
1231	4/4/22	3	1	4	3	3	5	19
1232	5/4/22	6	4	4	2	1	2	19
1233	6/4/22	6	2	4	2	2	3	19
1237	7/4/22	3	4	5	1	2	5	20
1245	8/4/22	6	2	6	5	1	1	21
1249	9/4/22	5	5	4	1	2	3	20
1254	10/4/22	4	3	6	0	3	5	21
1256	11/4/22	3	4	5	0	2	4	18
1257	12/4/22	3	3	5	4	3	0	18
1259	13/4/22	3	2	4	6	2	3	20
1260	14/4/22	5	0	5	5	3	1	19
1262	15/4/22	4	3	2	3	1	4	17
1265	16/4/22	2	3	5	5	1	3	19
1266	17/4/22	4	2	3	4	2	4	19
1267	18/4/22	6	2	3	4	2	0	17
1270	19/4/22	4	1	3	4	4	2	18
1273	20/4/22	4	3	4	2	3	2	18
1274	21/4/22	4	3	2	3	2	6	20
1276	22/4/22	1	3	7	5	2	2	20
1282	23/4/22	3	2	2	2	3	7	19
1285	24/4/22	3	4	2	3	1	3	16
1287	25/4/22	6	4	3	2	1	6	22
1288	26/4/22	5	2	8	1	1	1	18
1289	27/4/22	4	2	5	2	4	3	20
1291	28/4/22	6	2	4	2	3	3	20
1292	29/4/22	2	2	4	1	4	7	20
1293	30/4/22	7	2	4	2	1	3	19
1294	1/5/22	2	1	3	3	5	3	17
1295	2/5/22	5	1	4	1	5	1	17
1296	3/5/22	3	1	7	0	1	7	19
1298	4/5/22	5	0	3	3	2	5	18
1299	5/5/22	4	3	5	1	1	4	18
1300	6/5/22	4	4	5	1	2	3	19
1301	7/5/22	5	2	5	2	1	4	19
1302	8/5/22	6	1	3	0	2	6	18
1303	9/5/22	4	4	5	1	0	2	16
1304	10/5/22	5	3	3	0	3	5	19
1305	11/5/22	6	1	5	0	2	4	18
1307	12/5/22	6	0	5	2	1	4	18
1311	13/5/22	7	0	6	3	2	2	20
1313	14/5/22	4	4	3	0	5	2	18
1320	15/5/22	4	3	6	2	1	4	20
1322	16/5/22	3	1	5	3	5	2	19
1323	17/5/22	6	1	7	3	1	1	19
1326	18/5/22	2	0	6	2	4	5	19
1328	19/5/22	4	2	6	0	5	2	19
1331	20/5/22	2	6	1	1	5	6	21
1332	21/5/22	4	2	3	6	3	1	19
1335	22/5/22	1	5	4	3	3	3	19
1339	23/5/22	1	5	2	4	1	3	16
165	24/5/22	3	4	3	1	4	4	19
166	25/5/22	3	2	4	4	4	3	20
192		1	7	1	6	5	1	21
193		3	2	3	2	3	6	19
194		6	4	5	1	2	3	21
196		6	0	6	2	2	4	20
197		4	0	5	2	3	8	22
198		4	1	4	3	3	5	20
199		4	0	6	2	2	7	21
200		2	4	7	2	2	3	20
204		6	1	4	2	1	6	20
205		7	0	5	3	1	6	22
206		3	3	5	1	3	6	21
207		1	2	9	2	0	5	19
208		4	1	5	1	3	7	21
209		2	2	6	1	4	6	21
210		8	1	5	3	1	3	21
211		2	1	8	4	2	4	21
213		7	2	5	1	2	4	21
214		4	5	3	4	1	3	20
215		4	0	6	3	1	6	20
216		3	3	6	2	3	4	21
219		2	1	7	2	4	4	20
221		6	4	4	2	1	3	20
226		7	5	3	3	0	3	21
258		3	1	3	5	3	6	21
262		2	0	4	3	3	7	19
264		5	4	7	0	3	2	21
268		6	1	6	0	3	5	21
269		7	3	4	1	1	4	20
271		4	5	3	2	1	6	21
274		7	1	6	3	2	1	20
276		3	2	7	1	2	5	20
284		3	3	3	2	4	6	21
285		4	2	4	2	0	8	20
286		3	2	2	4	4	5	20
288		6	3	3	5	1	2	20
291		2	4	4	2	1	7	20
296		4	0	3	2	5	6	20
297		9	1	3	1	5	1	20
299		4	3	8	1	0	4	20
307		4	3	1	2	3	8	21
329		2	2	5	3	5	5	22
372		6	0	6	3	0	6	21
373		1	5	6	1	3	6	22
375		6	0	6	3	3	2	20
376		6	0	3	1	3	6	19
377		7	3	4	1	0	5	20
379		4	2	8	1	2	3	20
380		5	6	4	1	1	5	22
381		2	2	1	3	2	10	20
382		7	5	5	2	0	3	22
383		4	2	4	4	2	5	21
384		6	4	4	2	3	3	22
393		3	1	2	4	1	8	19
394		4	3	9	1	0	2	19
395		3	0	6	4	2	3	18
397		7	0	5	2	2	4	20
398		2	3	4	1	2	5	17
401		4	3	3	1	4	4	19
404		4	3	8	0	1	3	19
406		6	1	6	1	4	0	18
408		5	2	4	2	1	6	20
409		5	0	4	2	1	8	20
410		5	2	4	4	2	4	21
412		3	4	6	2	1	4	20
418		4	1	5	0	2	8	20
419		4	0	4	2	4	3	17
421		5	2	7	1	2	3	20
422		5	2	7	1	2	3	20
425		2	3	5	2	2	5	19
426		1	5	7	1	1	3	18
427		4	2	4	2	5	1	18
431		5	2	5	2	2	2	18
433		2	3	6	1	2	5	19
434		2	1	3	3	2	8	19
435		1	1	2	2	6	8	20
437		4	1	6	1	4	3	19
438		1	3	5	3	2	3	17
440		6	2	3	2	2	3	18
447		5	3	4	2	4	1	19
448		1	3	6	2	1	5	18
449		6	2	4	2	3	3	20
450		2	2	9	1	3	3	20
451		6	5	3	0	3	3	20
454		6	0	2	4	1	8	21
456		1	2	4	0	3	8	18
457		4	3	2	4	2	4	19
458		3	3	1	4	1	6	18
459		2	4	1	3	4	6	20
460		7	4	0	2	1	6	20
461		4	2	3	3	3	4	19
464		7	3	3	3	1	2	19
465		4	2	3	3	1	5	18
467		6	2	4	1	2	3	18
468		6	5	2	2	1	4	20
469		6	2	6	0	1	5	20
470		3	3	3	3	3	6	21
471		5	5	4	1	3	3	21
473		6	1	4	2	1	6	20
474		5	2	4	1	2	5	19
476		3	2	8	1	3	3	20
477		3	4	4	3	2	6	22
478		7	3	3	3	3	2	21
479		6	2	4	2	1	8	23
480		3	1	4	2	5	6	21
481		3	3	6	2	2	4	20
482		4	4	9	2	0	1	20
483		4	1	0	6	0	10	21
491		6	4	3	1	4	4	22
492		4	5	3	2	3	2	19
493		4	2	5	4	3	2	20
494		4	1	4	1	3	6	19
500		4	3	5	4	2	2	20
501		3	4	5	6	2	2	22
503		4	4	4	1	1	8	22
505		3	1	4	5	3	3	19
506		3	4	5	2	4	2	20
507		5	1	2	4	5	3	20
508		3	2	4	1	0	9	19
515		2	4	6	1	3	4	20
518		7	2	3	2	2	4	20
519		4	5	2	2	3	3	19
520		4	3	3	0	1	8	19
521		4	3	3	2	1	5	18
523		3	2	6	3	4	1	19
532		4	4	6	1	4	1	20
534		4	2	4	2	1	5	18
535		4	0	6	1	3	4	18
537		1	2	3	4	3	7	20
539		3	4	4	1	4	3	19
541		3	4	3	2	2	5	19
550		5	2	4	4	2	6	23
551		3	2	9	2	2	1	19
552		5	1	7	3	2	3	21
553		4	2	4	4	3	3	20
558		8	2	3	2	2	4	21
559		3	2	3	2	5	4	19
560		3	2	5	3	2	4	19
561		3	3	5	2	3	3	19
562		5	1	6	2	2	3	19
564		4	1	5	4	2	4	20
565		7	2	6	1	1	2	19
566		5	1	5	2	3	5	21
567		4	2	4	3	4	3	20
569		3	1	3	3	6	2	18
571		5	2	6	2	1	3	19
572		1	1	2	4	1	11	20
573		5	2	1	5	4	4	21
575		5	1	7	3	2	2	20
576		4	1	7	1	0	7	20
577		4	2	4	5	5	1	21
578		3	2	5	3	1	6	20
580		2	1	4	4	4	7	22
581		6	2	2	7	1	2	20
582		4	1	4	1	2	6	18
583		8	3	4	2	1	4	22
584		3	3	4	5	3	3	21
585		3	3	3	3	1	6	19
586		6	2	5	0	1	6	20
587		5	0	8	2	1	5	21
589		4	3	7	1	2	5	22
590		4	4	6	1	2	4	21
591		4	3	3	4	2	6	22
592		1	1	3	2	5	6	18
593		3	1	5	6	2	4	21
594		6	5	2	3	3	3	22
595		4	1	5	3	0	7	20
596		2	4	2	2	3	4	17
599		3	2	6	1	2	5	19
605		4	2	4	6	4	0	20
606		9	3	4	2	3	1	22
607		2	4	9	1	3	4	23
608		1	4	4	3	6	2	20
609		4	3	6	7	1	2	23
610		6	3	7	0	3	2	21
612		6	2	4	1	6	4	23
614		0	5	7	2	4	3	21
615		3	5	5	5	3	1	22
616		3	0	2	2	0	9	16
617		7	1	2	4	1	4	19
618		4	2	4	3	2	2	17
621		5	4	1	2	2	3	17
630		3	0	4	3	3	5	18
631		3	3	3	3	2	3	17
632		1	2	4	3	3	5	18
636		5	3	5	2	1	2	18
638		3	1	5	2	2	4	17
640		7	2	2	0	3	2	16
642		7	0	1	4	2	2	16
643		4	2	4	0	1	5	16
644		3	1	6	0	3	4	17
645		3	1	1	2	3	8	18
646		5	2	3	3	3	3	19
648		5	3	2	2	3	1	16
649		2	1	1	5	1	6	16
650		5	1	6	1	2	2	17
652		4	1	1	4	3	4	17
653		5	5	3	4	1	4	22
656		1	2	2	1	4	5	15
657		6	1	4	1	2	2	16
660		2	1	4	2	1	5	15
662		2	2	4	2	1	5	16
663		4	2	2	2	1	3	14
671		1	5	2	3	4	2	17
672		4	7	0	1	1	3	16
673		4	0	2	6	2	2	16
675		2	1	5	4	3	2	17
676		3	3	3	1	3	3	16
677		5	1	2	5	3	1	17
678		2	6	0	2	5	0	15
679		3	2	5	2	1	2	15
680		1	2	4	2	5	3	17
684		2	5	2	2	1	4	16
685		5	5	1	2	1	2	16
686		3	1	8	2	2	0	16
687		3	2	4	1	0	5	15
689		4	2	6	2	1	1	16
690		7	1	5	2	1	2	18
694		1	3	5	2	2	4	17
695		3	3	2	2	3	4	17
696		4	1	3	3	2	3	16
697		5	4	4	2	1	2	18
698		5	2	4	2	4	0	17
699		3	5	4	1	1	2	16
700		2	3	8	1	1	1	16
703		2	4	3	1	1	5	16
705		4	2	2	3	2	4	17
708		4	3	2	3	4	1	17
709		7	0	7	0	2	1	17
710		3	1	5	1	2	5	17
711		5	1	3	2	2	4	17
712		3	3	3	2	0	5	16
713		5	1	6	0	2	2	16
714		3	1	8	1	1	3	17
715		5	1	2	1	3	4	16
716		3	4	5	2	0	3	17
717		6	1	2	0	3	4	16
718		5	2	3	1	1	3	15
719		5	2	6	4	0	2	19
721		8	1	3	2	1	2	17
722		1	0	6	3	2	4	16
723		0	2	3	1	2	8	16
724		3	0	4	2	1	5	15
725		3	3	4	0	3	4	17
726		1	4	3	2	1	6	17
728		2	3	3	3	1	4	16
729		4	1	4	2	2	4	17
733		3	3	2	2	1	6	17
734		1	1	5	2	4	2	15
736		7	1	2	0	2	4	16
737		6	2	4	1	1	2	16
738		4	2	5	4	0	2	17
741		4	1	3	0	5	2	15
742		1	4	2	5	4	2	18
743		1	3	4	1	2	4	15
745		0	3	1	5	6	3	18
751		2	3	2	2	6	2	17
752		2	2	3	2	5	2	16
753		3	4	0	3	3	4	17
754		2	1	2	4	3	6	18
755		0	2	2	4	4	4	16
756		3	2	6	5	0	1	17
758		3	2	4	0	4	4	17
759		3	2	4	5	0	2	16
761		5	1	3	3	2	2	16
762		3	3	2	3	4	2	17
763		3	2	6	0	2	3	16
764		6	1	7	2	2	0	18
766		2	5	3	0	3	3	16
767		3	3	5	2	0	3	16
768		0	2	5	3	2	3	15
771		5	2	2	1	2	3	15
772		3	2	2	3	2	3	15
775		2	2	1	3	3	4	15
776		1	2	4	5	1	2	15
777		1	5	3	5	2	2	18
781		2	0	3	6	5	2	18
782		4	2	3	0	3	3	15
783		1	0	3	4	6	2	16
785		2	2	2	1	6	3	16
787		6	1	1	4	2	2	16
788		1	3	5	2	3	2	16
789		2	2	5	1	2	3	15
790		2	1	3	5	3	1	15
791		2	5	4	2	1	2	16
795		5	2	0	3	2	3	15
796		3	3	5	2	4	2	19
797		3	0	2	4	4	3	16
798		5	2	1	2	4	3	17
803		3	1	5	2	2	3	16
805		2	3	4	3	1	3	16
806		7	0	1	1	3	4	16
807		4	1	3	2	3	3	16
808		1	3	1	3	3	5	16
809		5	4	1	1	2	2	15
